Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.651,0.14142135
Recall_1.0,0.302,0.42709246
Recall_2.0,0.4,0.0
Recall_3.0,0.902,0.13859291
Recall_4.0,1.0,0.0
Precision_2.0,0.6992032,0.42539093
Precision_1.0,0.3007968,0.42539093
Precision_4.0,0.6950631,0.19554363
Precision_3.0,0.6931662,0.032761924
F1_1.0,0.3013972,0.42624003
F1_3.0,0.78281677,0.07340856
F1_2.0,0.48531508,0.12178288
F1_4.0,0.81219923,0.13702552
Global_F1,0.5954321,0.18961422

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.008766666666666667,0.009183333333333333,
