Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.84650004,0.11242996
Recall_1.0,0.5,0.5050763
Recall_2.0,1.0,0.0
Recall_3.0,0.8670515,0.08168574
Recall_4.0,0.4326923,0.394348
Precision_2.0,0.9195319,0.11026357
Precision_1.0,0.55357146,0.42931485
Precision_4.0,0.5478058,0.40114853
Precision_3.0,0.8513767,0.059518263
F1_1.0,0.5194805,0.47752666
F1_3.0,0.859079,0.07041091
F1_2.0,0.9563575,0.05994993
F1_4.0,0.4806419,0.40474436
Global_F1,0.7038897,0.25315794

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.01865,0.019016666666666668,
