Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.2505,7.070977E-4
Recall_1.0,0.5,0.70710677
Recall_2.0,0.0,0.0
Recall_3.0,0.5,0.70710677
Recall_4.0,0.002,0.0028284274
Precision_2.0,0.0,0.0
Precision_1.0,0.1252505,0.17713097
Precision_4.0,0.25,0.35355338
Precision_3.0,0.125,0.17677669
F1_1.0,0.20032051,0.283296
F1_3.0,0.2,0.28284273
F1_2.0,0.0,0.0
F1_4.0,0.003968254,0.005611959
Global_F1,0.10107219,0.0015163067

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.006083333333333333,0.0064333333333333334,
