Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.8035,0.20718227
Recall_1.0,0.64285713,0.5050763
Recall_2.0,0.8596491,0.19848612
Recall_3.0,0.78090686,0.15447123
Recall_4.0,0.8468406,0.19134623
Precision_2.0,0.86917055,0.04587124
Precision_1.0,1.0,0.0
Precision_4.0,0.69371724,0.4331492
Precision_3.0,0.80467975,0.2726712
F1_1.0,0.7222222,0.39283708
F1_3.0,0.79057026,0.2123979
F1_2.0,0.8609213,0.12351227
F1_4.0,0.7463429,0.34598452
Global_F1,0.78001416,0.26868293

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.0185,0.019633333333333332,
