Performance Measure,Cycle0,Cycle1
Classification_Accuracy,0.548,0.635
Recall_1.0,0.0,0.11904762
Recall_2.0,1.0,0.79520696
Recall_3.0,0.22197309,0.5701559
Recall_4.0,0.0,0.18
Precision_2.0,0.5282353,0.6709559
Precision_1.0,0.0,0.14705883
Precision_4.0,0.0,0.13846155
Precision_3.0,0.66442955,0.71708685
F1_1.0,0.0,0.13157895
F1_3.0,0.33277312,0.6352358
F1_2.0,0.69130105,0.72781646
F1_4.0,0.0,0.15652175
Global_F1,0.25601855,0.41278824
