Performance Measure,Cycle0,Cycle1
Classification_Accuracy,0.424,0.477
Recall_1.0,0.0,0.0
Recall_2.0,0.8117359,0.912854
Recall_3.0,0.03422983,0.02895323
Recall_4.0,0.85714287,0.9
Precision_2.0,0.49185187,0.51411045
Precision_1.0,0.0,0.0
Precision_4.0,0.25080386,0.2616279
Precision_3.0,1.0,1.0
F1_1.0,0.0,0.0
F1_3.0,0.06619385,0.05627706
F1_2.0,0.61254615,0.65777075
F1_4.0,0.38805968,0.4054054
Global_F1,0.2666999,0.2798633
