Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.83666664,0.28290164
Recall_2.0,1.0,0.0
Recall_3.0,1.0,0.0
Recall_4.0,1.0,0.0
Recall_5.0,0.6713615,0.5692186
Precision_2.0,0.83367276,0.2880872
Precision_4.0,1.0,0.0
Precision_3.0,1.0,0.0
Precision_5.0,1.0,0.0
F1_3.0,1.0,0.0
F1_2.0,0.88919044,0.19192784
F1_5.0,0.6759259,0.56131274
F1_4.0,1.0,0.0
Global_F1,0.89127904,0.18831016

,Cycle0,Cycle1,Cycle2
Filter Time (Seconds),0.0,0.0,0.0,
Test Time (Minutes),0.04348333333333333,0.03871666666666667,0.04085,
