Performance Measure,Cycle0,Cycle1
Classification_Accuracy,0.914,0.862
Recall_1.0,0.0,0.0
Recall_2.0,0.9863326,0.8932462
Recall_3.0,0.9617117,0.9153675
Recall_4.0,0.9310345,0.82
Precision_2.0,0.95164835,0.9879518
Precision_1.0,0.0,0.0
Precision_4.0,0.47368422,0.338843
Precision_3.0,0.99071926,0.8934783
F1_1.0,0.0,0.0
F1_3.0,0.976,0.90429044
F1_2.0,0.96868014,0.93821514
F1_4.0,0.627907,0.47953215
Global_F1,0.6431468,0.5805094
