Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.8655,0.05020461
Recall_1.0,0.5612245,0.5916608
Recall_2.0,0.80314934,0.030281289
Recall_3.0,0.9987469,0.0017721907
Recall_4.0,0.9278846,0.101986565
Precision_2.0,0.9985795,0.0020088453
Precision_1.0,1.0,0.0
Precision_4.0,0.75574714,0.3454257
Precision_3.0,0.82193476,0.002944126
F1_1.0,0.6198454,0.52304035
F1_3.0,0.90175223,0.0010495408
F1_2.0,0.89012533,0.01940424
F1_4.0,0.8201439,0.25435495
Global_F1,0.8079667,0.18923534

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.010366666666666666,0.008883333333333333,
