Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.76900005,0.042426407
Recall_1.0,0.0,0.0
Recall_2.0,0.89977217,0.14174351
Recall_3.0,0.8000495,0.031144667
Recall_4.0,0.22506158,0.2425237
Precision_2.0,0.8878732,0.09691617
Precision_1.0,0.0,0.0
Precision_4.0,0.46146616,0.40804845
Precision_3.0,0.80762005,0.090848
F1_1.0,0.0,0.0
F1_3.0,0.80151176,0.029363498
F1_2.0,0.88583493,0.021025376
F1_4.0,0.17041884,0.099587284
Global_F1,0.46444142,0.012299609

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.018533333333333332,0.019066666666666666,
