Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.8555,0.051618803
Recall_1.0,0.26190478,0.37038928
Recall_2.0,0.95424837,0.06470258
Recall_3.0,0.96943766,0.04322168
Recall_4.0,0.18285716,0.14546198
Precision_2.0,0.8850274,0.09479105
Precision_1.0,0.1594203,0.22545435
Precision_4.0,0.33333334,0.23570226
Precision_3.0,0.90724945,0.07086145
F1_1.0,0.1981982,0.28029457
F1_3.0,0.9371815,0.058028076
F1_2.0,0.91482794,0.021125475
F1_4.0,0.23587224,0.18068577
Global_F1,0.57152,0.04469062

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.018916666666666665,0.018716666666666666,
