Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.656,0.0
Recall_1.0,0.2857143,0.0
Recall_2.0,0.8503624,0.013133338
Recall_3.0,0.63580716,0.037879102
Recall_4.0,0.28434065,0.16900629
Precision_2.0,0.6850823,0.03421831
Precision_1.0,0.37301588,0.056119584
Precision_4.0,0.3301312,0.14546385
Precision_3.0,0.7560363,0.07631622
F1_1.0,0.32267734,0.021192025
F1_3.0,0.68852,0.0095586525
F1_2.0,0.75842583,0.01576722
F1_4.0,0.30449665,0.16039138
Global_F1,0.51852995,0.03324769

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.22891666666666666,0.23333333333333334,
