Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.8985,0.06858936
Recall_1.0,0.996,0.005656866
Recall_2.0,0.896,0.14142135
Recall_3.0,0.9,0.14142135
Recall_4.0,0.802,0.2800143
Precision_2.0,0.9975,0.0035355305
Precision_1.0,0.8581662,0.2005833
Precision_4.0,0.91337717,0.113199145
Precision_3.0,0.89603174,0.13580936
F1_1.0,0.9153542,0.11402763
F1_3.0,0.898008,0.13860412
F1_2.0,0.9412202,0.08029304
F1_4.0,0.83016735,0.1116148
Global_F1,0.8961874,0.0709884

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.22756666666666667,0.23363333333333333,
