Performance Measure,Cycle0,Cycle1
Classification_Accuracy,0.884,0.863
Recall_1.0,0.0,0.3809524
Recall_2.0,1.0,0.9368192
Recall_3.0,0.9548872,0.85077953
Recall_4.0,1.0,0.7
Precision_2.0,0.9257541,0.9287257
Precision_1.0,0.0,0.44444445
Precision_4.0,0.5531915,0.33333334
Precision_3.0,1.0,0.96464646
F1_1.0,0.0,0.41025642
F1_3.0,0.9769231,0.904142
F1_2.0,0.9614458,0.93275493
F1_4.0,0.7123288,0.45161292
Global_F1,0.6626744,0.67469156
