Performance Measure,Cycle0,Cycle1
Classification_Accuracy,0.666,0.783
Recall_1.0,0.2857143,0.2857143
Recall_2.0,0.93154037,1.0
Recall_3.0,0.56723714,0.7819549
Recall_4.0,0.2967033,0.42307693
Precision_2.0,0.62356794,0.6808874
Precision_1.0,0.68421054,0.9655172
Precision_4.0,0.5,0.7586207
Precision_3.0,0.7811448,0.95412844
F1_1.0,0.40310082,0.44094488
F1_3.0,0.65722376,0.85950416
F1_2.0,0.74705887,0.8101523
F1_4.0,0.37241378,0.5432099
Global_F1,0.54494935,0.66345286
