Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.6545,0.04737618
Recall_1.0,0.071428575,0.10101526
Recall_2.0,0.654369,0.026634827
Recall_3.0,0.7881654,0.047603685
Recall_4.0,0.10034482,0.028771931
Precision_2.0,0.75632834,0.017434929
Precision_1.0,0.25,0.35355338
Precision_4.0,0.08675464,0.036979675
Precision_3.0,0.65232104,0.08102647
F1_1.0,0.11111112,0.15713485
F1_3.0,0.7134763,0.068071246
F1_2.0,0.7016369,0.022815732
F1_4.0,0.09281609,0.033729807
Global_F1,0.4047601,0.053573027

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.22856666666666667,0.23533333333333334,
