Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.4505,0.037476663
Recall_1.0,0.0,0.0
Recall_2.0,0.862295,0.071501285
Recall_3.0,0.03159153,0.0037311197
Recall_4.0,0.8785714,0.030304553
Precision_2.0,0.5029812,0.015739193
Precision_1.0,0.0,0.0
Precision_4.0,0.25621587,0.007653762
Precision_3.0,1.0,0.0
F1_1.0,0.0,0.0
F1_3.0,0.061235454,0.0070122294
F1_2.0,0.6351584,0.031978626
F1_4.0,0.39673254,0.012265281
Global_F1,0.2732816,0.009307921

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.008133333333333333,0.008683333333333333,
