Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.81,0.07778176
Recall_1.0,0.15476191,0.2188664
Recall_2.0,0.99346405,0.009243226
Recall_3.0,0.890436,0.0025379146
Recall_4.0,0.0,0.0
Precision_2.0,0.8348109,0.13758577
Precision_1.0,0.11818182,0.16713433
Precision_4.0,0.0,0.0
Precision_3.0,0.84747696,0.101650655
F1_1.0,0.13402063,0.18953378
F1_3.0,0.866787,0.05225552
F1_2.0,0.90383315,0.077636056
F1_4.0,0.0,0.0
Global_F1,0.4761602,0.07985635

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.02015,0.01975,
