Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.885,0.0537401
Recall_1.0,0.42857146,0.20203052
Recall_2.0,0.98245615,0.024810754
Recall_3.0,0.9298246,0.09924306
Recall_4.0,0.7287088,0.20688699
Precision_2.0,0.95187795,0.06805489
Precision_1.0,0.6303523,0.074351594
Precision_4.0,0.52751714,0.06868805
Precision_3.0,1.0,0.0
F1_1.0,0.48873168,0.12141588
F1_3.0,0.9622642,0.05336655
F1_2.0,0.9666667,0.04714045
F1_4.0,0.5991413,0.028151734
Global_F1,0.75420094,0.04844279

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.0063,0.00625,
