Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.914,0.019798988
Recall_1.0,0.85714287,0.0
Recall_2.0,0.94736844,0.024810754
Recall_3.0,0.9097744,0.024810754
Recall_4.0,0.8557692,0.0
Precision_2.0,0.94312197,0.06950302
Precision_1.0,0.85714287,0.0
Precision_4.0,0.8683133,0.005990121
Precision_3.0,0.9125708,0.02052383
F1_1.0,0.85714287,0.0
F1_3.0,0.91088843,0.0022136369
F1_2.0,0.94497347,0.047270894
F1_4.0,0.8619906,0.0029516702
Global_F1,0.8937489,0.013109061

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.2328,0.24155,
