Performance Measure,Cycle0,Cycle1
Classification_Accuracy,0.819,0.892
Recall_1.0,0.0,0.52380955
Recall_2.0,1.0,0.90849674
Recall_3.0,0.9388753,1.0
Recall_4.0,0.2857143,0.08
Precision_2.0,0.818,0.9520548
Precision_1.0,0.0,0.3188406
Precision_4.0,0.5,0.16666667
Precision_3.0,0.85714287,0.9573561
F1_1.0,0.0,0.3963964
F1_3.0,0.8961494,0.9782135
F1_2.0,0.89988995,0.9297659
F1_4.0,0.36363637,0.10810811
Global_F1,0.5399189,0.603121
