Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.4755,0.17748381
Recall_1.0,0.302,0.42709246
Recall_2.0,0.4,0.0
Recall_3.0,0.202,0.28001428
Recall_4.0,0.998,0.002828433
Precision_2.0,0.61160713,0.54927045
Precision_1.0,0.3007968,0.42539093
Precision_4.0,0.50455374,0.072127484
Precision_3.0,0.5012563,0.0017766582
F1_1.0,0.3013972,0.42624003
F1_3.0,0.2266854,0.30935764
F1_2.0,0.42898077,0.20145166
F1_4.0,0.6687824,0.06435141
Global_F1,0.40646142,0.25035015

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.011983333333333334,0.009816666666666666,
