Performance Measure,Cycle0,Cycle1
Classification_Accuracy,0.923,0.916
Recall_1.0,0.5714286,0.2857143
Recall_2.0,1.0,1.0
Recall_3.0,1.0,0.99749374
Recall_4.0,0.5824176,0.875
Precision_2.0,1.0,0.9975
Precision_1.0,0.5777778,0.68292683
Precision_4.0,0.57608694,0.5652174
Precision_3.0,1.0,1.0
F1_1.0,0.5745857,0.4028777
F1_3.0,1.0,0.9987453
F1_2.0,1.0,0.9987485
F1_4.0,0.579235,0.68679243
Global_F1,0.7884552,0.771791
