Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.803,0.20647518
Recall_1.0,0.63265306,0.49064553
Recall_2.0,0.8596491,0.19848612
Recall_3.0,0.78090686,0.15447123
Recall_4.0,0.8468406,0.19134623
Precision_2.0,0.86917055,0.04587124
Precision_1.0,1.0,0.0
Precision_4.0,0.69371724,0.4331492
Precision_3.0,0.80342984,0.27090347
F1_1.0,0.7170676,0.3855473
F1_3.0,0.7900136,0.21161065
F1_2.0,0.8609213,0.12351227
F1_4.0,0.7463429,0.34598452
Global_F1,0.7785864,0.2666637

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.01863333333333333,0.018583333333333334,
