Performance Measure,Cycle0,Cycle1,Cycle2
Classification_Accuracy,1.0,1.0,0.51
Recall_2.0,1.0,1.0,1.0
Recall_3.0,1.0,1.0,1.0
Recall_4.0,1.0,1.0,1.0
Recall_5.0,1.0,1.0,0.014084507
Precision_2.0,1.0,1.0,0.50101835
Precision_4.0,1.0,1.0,1.0
Precision_3.0,1.0,1.0,1.0
Precision_5.0,1.0,1.0,1.0
F1_3.0,1.0,1.0,1.0
F1_2.0,1.0,1.0,0.66757125
F1_5.0,1.0,1.0,0.027777778
F1_4.0,1.0,1.0,1.0
Global_F1,1.0,1.0,0.67383724
