Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.4745,0.024748756
Recall_1.0,0.071428575,0.10101526
Recall_2.0,0.42620504,0.4893243
Recall_3.0,0.5381105,0.5539674
Recall_4.0,0.8174735,0.1362165
Precision_2.0,0.51679957,0.011017524
Precision_1.0,0.125,0.17677669
Precision_4.0,0.34176302,0.12977248
Precision_3.0,0.5276611,0.007249047
F1_1.0,0.09090909,0.12856488
F1_3.0,0.44937658,0.31069508
F1_2.0,0.37635255,0.33548275
F1_4.0,0.46705437,0.10530489
Global_F1,0.34592316,0.05227052

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.006816666666666667,0.007316666666666667,
