Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.886,0.039597977
Recall_1.0,0.19491525,0.27565178
Recall_2.0,0.9851936,0.020939397
Recall_3.0,0.9559033,0.036880855
Recall_4.0,0.6730769,0.24476774
Precision_2.0,0.9557767,0.03328164
Precision_1.0,0.2254902,0.3188913
Precision_4.0,0.44670406,0.03735534
Precision_3.0,0.98988765,0.014301016
F1_1.0,0.2090909,0.29569918
F1_3.0,0.9722569,0.012191229
F1_2.0,0.96988094,0.006996714
F1_4.0,0.5317947,0.10620999
Global_F1,0.67075586,0.052169286

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.0063,0.006366666666666666,
