Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.9285,0.017677654
Recall_1.0,0.05952381,0.08417938
Recall_2.0,0.9954442,0.0064429045
Recall_3.0,0.9944195,0.0047067916
Recall_4.0,0.6475862,0.010728522
Precision_2.0,0.96641254,0.032260504
Precision_1.0,0.25,0.35355338
Precision_4.0,0.51229507,0.01738785
Precision_3.0,0.9568963,1.3137172E-4
F1_1.0,0.09615384,0.13598207
F1_3.0,0.97529423,0.0021954714
F1_2.0,0.9806248,0.019739687
F1_4.0,0.5718703,0.006655535
Global_F1,0.65598583,0.040045448

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.03431666666666667,0.01951666666666667,
