Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.78999996,0.15273508
Recall_1.0,0.64285713,0.5050763
Recall_2.0,0.8606357,0.19709088
Recall_3.0,0.8217982,0.09030038
Recall_4.0,0.32486266,0.3331561
Precision_2.0,0.87497187,0.03511174
Precision_1.0,1.0,0.0
Precision_4.0,0.56073445,0.385513
Precision_3.0,0.7872696,0.13913126
F1_1.0,0.7222222,0.39283708
F1_3.0,0.80370986,0.115881115
F1_2.0,0.86384034,0.11796949
F1_4.0,0.27094367,0.15507326
Global_F1,0.6651791,0.11790362

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.018466666666666666,0.018783333333333332,
