Performance Measure,Cycle0,Cycle1
Classification_Accuracy,0.457,0.492
Recall_1.0,0.0,0.14285715
Recall_2.0,0.7722096,0.0802005
Recall_3.0,0.1463964,0.9298246
Recall_4.0,0.9137931,0.72115386
Precision_2.0,0.509009,0.52459013
Precision_1.0,0.0,0.25
Precision_4.0,0.25,0.433526
Precision_3.0,0.5327869,0.5225352
F1_1.0,0.0,0.18181819
F1_3.0,0.229682,0.6690712
F1_2.0,0.6135747,0.13913044
F1_4.0,0.39259258,0.5415162
Global_F1,0.30896232,0.382884
