Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.8735,0.014849262
Recall_1.0,0.1904762,0.269374
Recall_2.0,0.9684096,0.044675574
Recall_3.0,0.90283334,0.073615246
Recall_4.0,0.85,0.21213204
Precision_2.0,0.9272399,0.0021012733
Precision_1.0,0.22222222,0.3142697
Precision_4.0,0.4432624,0.15546319
Precision_3.0,0.9823232,0.024998728
F1_1.0,0.20512821,0.2900951
F1_3.0,0.94053257,0.051464
F1_2.0,0.9471004,0.020287512
F1_4.0,0.5819709,0.18435396
Global_F1,0.668683,0.008497395

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.0064333333333333334,0.00605,
