Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.87049997,0.030405622
Recall_1.0,0.1904762,0.269374
Recall_2.0,0.9705882,0.041594513
Recall_3.0,0.89124435,0.09502226
Recall_4.0,0.81,0.26870057
Precision_2.0,0.93034756,0.001860109
Precision_1.0,0.2,0.28284273
Precision_4.0,0.3932308,0.20538734
Precision_3.0,1.0,0.0
F1_1.0,0.19512196,0.2759441
F1_3.0,0.9411587,0.053199608
F1_2.0,0.9498438,0.020900454
F1_4.0,0.5271429,0.24445695
Global_F1,0.65331686,0.010653206

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.009666666666666667,0.0085,
