Performance Measure,Cycle0
Classification_Accuracy,1.0
Precision_LEFT,1.0
Precision_DOWN,1.0
Precision_UP,1.0
F1_RIGHT,1.0
Precision_RIGHT,1.0
F1_LEFT,1.0
Global_F1,1.0
Recall_RIGHT,1.0
F1_DOWN,1.0
Recall_DOWN,1.0
Recall_LEFT,1.0
Recall_UP,1.0
F1_UP,1.0
