Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.5325,0.034648206
Recall_1.0,0.0,0.0
Recall_2.0,0.5185793,0.063491255
Recall_3.0,0.6037094,0.064224295
Recall_4.0,0.77953297,0.28653365
Precision_2.0,0.508224,0.001711162
Precision_1.0,0.0,0.0
Precision_4.0,0.52052546,0.004644414
Precision_3.0,0.5668306,0.087620854
F1_1.0,0.0,0.0
F1_3.0,0.5797157,0.016593257
F1_2.0,0.5123322,0.03029684
F1_4.0,0.6143422,0.09742185
Global_F1,0.4265975,0.036078

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.007183333333333333,0.007333333333333333,
