Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.5915,0.0615183
Recall_1.0,0.05952381,0.08417938
Recall_2.0,0.8976035,0.14481054
Recall_3.0,0.39606452,0.24620244
Recall_4.0,0.09,0.12727922
Precision_2.0,0.5995956,0.10091869
Precision_1.0,0.073529415,0.10398629
Precision_4.0,0.06923077,0.097907096
Precision_3.0,0.6907582,0.03723434
F1_1.0,0.065789476,0.09304037
F1_3.0,0.48400444,0.2138734
F1_2.0,0.7095587,0.025820298
F1_4.0,0.078260876,0.11067759
Global_F1,0.3344034,0.11085291

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.2592833333333333,0.25815,
