Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.8345,0.021920323
Recall_1.0,0.5612245,0.5916608
Recall_2.0,0.9229829,0.10891867
Recall_3.0,0.8877909,0.15522984
Recall_4.0,0.33928573,0.32829958
Precision_2.0,0.9074844,0.12676129
Precision_1.0,0.7474227,0.35719827
Precision_4.0,0.6809986,0.24910557
Precision_3.0,0.8798883,0.16986364
F1_1.0,0.45376712,0.28817022
F1_3.0,0.86886847,0.008894292
F1_2.0,0.9075718,0.0109914765
F1_4.0,0.36327934,0.24438056
Global_F1,0.6483717,0.010423127

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.007333333333333333,0.007966666666666667,
