Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.4675,0.040305074
Recall_1.0,0.0,0.0
Recall_2.0,0.719191,0.29788086
Recall_3.0,0.22967872,0.20076095
Recall_4.0,0.8667582,0.0019425903
Precision_2.0,0.50419694,7.9901994E-4
Precision_1.0,0.0,0.0
Precision_4.0,0.32266182,0.097075194
Precision_3.0,0.7753623,0.31768566
F1_1.0,0.0,0.0
F1_3.0,0.30254298,0.19976142
F1_2.0,0.58020186,0.10482031
F1_4.0,0.4659785,0.10315795
Global_F1,0.33718085,0.0020542163

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.007316666666666667,0.007116666666666667,
