Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.5935,0.03323401
Recall_1.0,0.17857143,0.050507624
Recall_2.0,0.8255934,0.19702666
Recall_3.0,0.52262056,0.023129348
Recall_4.0,0.11692308,0.052217122
Precision_2.0,0.6464989,0.027524885
Precision_1.0,0.5703125,0.6076699
Precision_4.0,0.13550135,0.12264183
Precision_3.0,0.65425193,0.026985152
F1_1.0,0.20990565,0.05670197
F1_3.0,0.5805505,0.0036515186
F1_2.0,0.7180421,0.059505027
F1_4.0,0.121212125,0.085709915
Global_F1,0.40742758,0.049566336

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.228,0.23408333333333334,
