Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.7285,0.096873604
Recall_1.0,0.15306123,0.18759976
Recall_2.0,0.92871094,0.0976682
Recall_3.0,0.722875,0.065313034
Recall_4.0,0.13598901,0.06604843
Precision_2.0,0.66942596,0.028008182
Precision_1.0,1.0,0.0
Precision_4.0,0.56989247,0.37256163
Precision_3.0,0.85340315,0.20731924
F1_1.0,0.24222223,0.28598544
F1_3.0,0.7804382,0.12588888
F1_2.0,0.77765405,0.053220384
F1_4.0,0.19510299,0.04781834
Global_F1,0.4988544,0.03867363

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.27303333333333335,0.2715,
