Performance Measure,Mean,Standard Deviation
Recall LEFT,0.91525424,0.0
F1 UP,0.8730227,0.0043358207
Recall DOWN,0.73195875,0.0
F1 DOWN,0.78453034,0.0
F1 RIGHT,0.35215396,0.0015046299
F1 LEFT,0.6814152,0.004299104
Precision UP,0.86457944,0.004579425
Classification Accuracy,0.687935,0.0058004856
Precision DOWN,0.8452381,0.0
Global F1,0.6727805,0.0017825961
Recall RIGHT,0.24450298,0.0012597293
Precision RIGHT,0.6291709,0.0012639165
Precision LEFT,0.5427684,0.0054549575
Recall UP,0.8816327,0.004081607

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.0028333333333333335,0.026833333333333334,
